ADM0_PCODE,ADM0_EN,ADM0_KA,ADM1_PCODE,ADM1_EN,ADM1_KA,ADM2_PCODE,,ADM2_EN,ADM2_KA,ADM2TYPE_KA,ADM2TYPE_EN,POP_FINAL,PART,SIZE_KMSQ,DENSITY,HOPUSE_POP,HOPUSE_QTY,AVER_SIZE,POP_0_4,POP_5_9,POP_10_14,POP_15_19,POP_20_24,POP_25_29,POP_30_34,POP_35_39,POP_40_44,POP_45_49,POP_50_54,POP_55_59,POP_60_64,POP_65_69,POP_70_74,POP_75_79,POP_80_84,POP_85_MOR,POP_Total,M_0_4,M_5_9,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_MORE,M_Total,F_0_4,F_5_9,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_MORE,F_Total
GE,Georgia,საქართველო,GE15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE1511,1,Batumi,ქ. ბათუმი,kalaki,city,0,0,1,0,"152,620","41,591",4,"11,805","10,018","8,775","9,389","11,821","13,509","12,608","11,678","11,273","10,203","10,860","8,879","7,302","5,166","3,644","3,438","1,550",921,"152,839","6,168","5,338","4,695","4,805","5,904","6,631","6,088","5,599","5,303","4,721","4,913","3,990","3,070","2,127","1,444","1,219",519,223,"72,757","5,637","4,680","4,080","4,584","5,917","6,878","6,520","6,079","5,970","5,482","5,947","4,889","4,232","3,039","2,200","2,219","1,031",698,"80,082"
GE,Georgia,საქართველო,GE15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE1523,1,Keda,ქედის,municipaliteti,municipality,0,0,1,0,"16,753","3,815",4,"1,114",989,"1,057","1,245","1,303","1,267","1,171","1,121","1,154","1,154","1,145",926,735,662,562,614,335,206,"16,760",574,543,568,654,684,705,589,568,578,572,571,433,362,286,249,270,131,73,"8,410",540,446,489,591,619,562,582,553,576,582,574,493,373,376,313,344,204,133,"8,350"
GE,Georgia,საქართველო,GE15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE1525,1,Kobuleti,ქობულეთის,municipaliteti,municipality,0,0,1,0,"74,794","18,421",4,"5,482","4,653","4,273","4,489","5,759","6,214","5,530","5,124","5,343","5,256","5,534","4,559","3,821","2,910","2,287","2,035",978,547,"74,794","2,839","2,520","2,343","2,321","3,028","3,181","2,851","2,626","2,642","2,591","2,672","2,106","1,745","1,258",954,800,349,156,"36,982","2,643","2,133","1,930","2,168","2,731","3,033","2,679","2,498","2,701","2,665","2,862","2,453","2,076","1,652","1,333","1,235",629,391,"37,812"
GE,Georgia,საქართველო,GE15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE1529,1,Shuakhevi,შუახევის,municipaliteti,municipality,0,0,1,0,"15,044","3,633",4,907,858,979,"1,257","1,318","1,059",982,"1,001","1,068","1,003",974,772,680,603,551,542,311,179,"15,044",489,447,541,653,718,588,519,500,570,528,471,360,309,235,236,202,139,50,"7,555",418,411,438,604,600,471,463,501,498,475,503,412,371,368,315,340,172,129,"7,489"
GE,Georgia,საქართველო,GE15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE1532,1,Khelvachauri,ხელვაჩაურის ,municipaliteti,municipality,0,0,1,0,"51,189","10,950",5,"3,820","3,145","2,891","3,552","4,439","4,588","3,916","3,689","3,649","3,520","3,574","2,847","2,165","1,683","1,382","1,291",691,347,"51,189","1,949","1,642","1,567","1,862","2,333","2,455","1,996","1,872","1,851","1,705","1,753","1,370",989,756,600,537,274,101,"25,612","1,871","1,503","1,324","1,690","2,106","2,133","1,920","1,817","1,798","1,815","1,821","1,477","1,176",927,782,754,417,246,"25,577"
GE,Georgia,საქართველო,GE15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE1535,1,Khulo,სულოს,municipaliteti,municipality,0,0,1,0,"23,317","5,372",4,"1,623","1,558","1,736","1,934","1,772","1,826","1,487","1,526","1,601","1,596","1,418","1,105",984,838,791,809,457,266,"23,327",845,863,849,993,941,"1,012",752,735,844,818,694,530,436,344,339,335,196,86,"11,612",778,695,887,941,831,814,735,791,757,778,724,575,548,494,452,474,261,180,"11,715"
GE,Georgia,საქართველო,GE23,Guria,გურია,GE2323,1,Lanchkhuti,ლანჩხუთის ,municipaliteti,municipality,31457,1,533,59,"31,457","9,752",3,"1,803","1,591","1,597","1,645","1,627","1,951","1,925","1,893","2,041","2,096","2,648","2,466","2,257","1,673","1,388","1,579",777,529,"31,486",905,830,836,908,901,"1,075","1,047",958,"1,004","1,026","1,304","1,129","1,035",758,532,582,266,138,"15,234",898,761,761,737,726,876,878,935,"1,037","1,070","1,344","1,337","1,222",915,856,997,511,391,"16,252"
GE,Georgia,საქართველო,GE23,Guria,გურია,GE2325,1,Ozurgeti,ოზურგეთის,municipaliteti,municipality,48069,1.5,675,71.2,"48,069","14,286",3,"2,862","2,570","2,525","2,581","2,653","3,104","3,054","3,045","3,129","3,250","3,789","3,583","3,328","2,419","2,054","2,231","1,190",711,"48,078","1,490","1,320","1,355","1,416","1,472","1,661","1,604","1,631","1,634","1,610","1,783","1,671","1,515","1,070",868,864,424,169,"23,557","1,372","1,250","1,170","1,165","1,181","1,443","1,450","1,414","1,495","1,640","2,006","1,912","1,813","1,349","1,186","1,367",766,542,"24,521"
GE,Georgia,საქართველო,GE23,Guria,გურია,GE2327,1,Chokhatauri,ჩოხატაურის,municipaliteti,municipality,18983,0.6,825.1,23,"18,983","5,998",3,"1,043","1,021",962,"1,075","1,008","1,077","1,126","1,128","1,203","1,318","1,407","1,343","1,321",937,939,"1,103",624,366,"19,001",549,532,491,589,566,560,577,583,618,685,707,627,607,404,358,412,229,109,"9,203",494,489,471,486,442,517,549,545,585,633,700,716,714,533,581,691,395,257,"9,798"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2611,1,Kutaisi,ქ. ქუთაისი,kalaki,city,146526,4.5,67.7,2164.3,"146,526","45,249",3,"11,527","10,070","8,421","8,787","10,564","11,686","10,824","9,959","9,315","9,045","10,524","9,653","8,214","5,735","4,553","4,909","2,493","1,356","147,635","6,000","5,209","4,420","4,469","4,989","5,567","5,277","4,838","4,478","4,295","4,909","4,496","3,512","2,361","1,631","1,627",783,333,"69,194","5,527","4,861","4,001","4,318","5,575","6,119","5,547","5,121","4,837","4,750","5,615","5,157","4,702","3,374","2,922","3,282","1,710","1,023","78,441"
